a,"
'''a''' <small>[conjunction for nouns]</small> — ''and/or''
:'''ei mi tavla la Alis a la Kevin''' — ''I need to speak to Alice or Kevin (or to both of them).''
:Related words: '''ja''', '''a''', '''e''', '''ji''', '''o''', '''u'''"
gu,"
'''gu''' <small>[forethought conjunction]</small> — ''whether or not''
:'''la Alis cu gu stati gi melbi''' — ''Alice is smart whether or not she is beautiful.''
:Comment: used to connect nouns, adverbs, verbs, clauses."
gu'a,"
'''gu'a''' <small>[forethought conjunction for tanru]</small> — ''and/or''
:'''le nu litru ba gu'a clani gi ckape''' — ''The journey will be dangerous or long.''"
gu'e,"
'''gu'e''' <small>[forethought conjunction for tanru]</small> — ''and''
:'''ca pa djedi mi ba gu'e badri gi gleki da''' — ''One day there will be something so that I will be both sad and happy about.''"
gu'i,"
'''gu'i''' <small>[forethought conjunction for tanru]</small> — question
:'''lu do gu'i citka gi pinxe li'u lu ge li'u''' — ''&quot;Do you eat or drink?&quot; &quot;Both.&quot;''"
gu'o,"
'''gu'o''' <small>[forethought conjunction for tanru]</small> — ''if and only if''
:'''ai mi te vecnu lo gu'o cnino gi kargu karce''' — ''I'm going to buy an expensive car if and only if it is new.''"
gu'u,"
'''gu'u''' <small>[forethought conjunction for tanru]</small> — ''whether or not''
:'''ai mi te vecnu lo gu'u kargu gi cnino karce''' — ''I'm going to buy a new car whether or not it is expensive.''"
gubni,"
'''gubni''' — ''x<sub>1</sub><sub>(entity)</sub>''  is public to community  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo gubni''' — public. '''lo se gubni''' — community with something public. 
:'''lo panka cu gubni lo prenu''' — ''The park is public and open to people.''
:Related words: '''sivni'''"
gugde,"
'''gugde''' — ''x<sub>1</sub><sub>(entity)</sub>''  is the country of inhabitants  ''x<sub>2</sub><sub>(entity)</sub>''  with territory  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo gugde''' — country. '''lo se gugde''' — citizen of a country. '''lo te gugde''' — territory of a country. 
:'''ti gugde lo cilce prenu lo na'e barda''' — ''This is a country of wild people covering not a big territory.''
:Related words: '''turni''', '''natmi''', '''jecta''', '''tumla''', '''tutra''', '''lanci'''"
gumri,"
'''gumri''' — ''x<sub>1</sub><sub>(entity)</sub>''   is a mushroom of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo gumri''' — mushroom. 
:'''lo vi gumri cu vindu lo remna''' — ''This mushroom is poisonous to humans.''
:Related words: '''mledi'''"
gundi,"
'''gundi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is industry producing  ''x<sub>2</sub><sub>(entity)</sub>''  by process or means  ''x<sub>3</sub><sub>(clause)</sub>'' 
:'''lo gundi''' — industry. '''lo se gundi''' — product of an industry. '''lo te gundi''' — industrial process. 
:'''lo gundi be lo taxfu be lo ka macnu se cupra cu carmi lo ka farvi''' — ''The industry of producing handmade dresses is developing.''
:'''mi se cuntu lo gundi be lo zgike''' — ''I am involved in music industry.''
:Related words: '''cupra''', '''fanri''', '''rutni''', '''zbasu'''"
gunka,"
'''gunka''' — ''x<sub>1</sub><sub>(entity)</sub>''  works on  ''x<sub>2</sub><sub>(property of x1)</sub>''  with goal  ''x<sub>3</sub><sub>(clause, property of x1)</sub>'' 
:'''lo gunka''' — worker. '''lo se gunka''' — work activity. '''lo te gunka''' — work goal. 
:'''mi gunka lo ka tadni la Lojban vau lo ka sutra tavla bau la Lojban''' — ''I'm working on learning Lojban in order to quickly talk in it.''
:Comment: '''zukte''' need not be labor.
:Related words: '''sazri''', '''gasnu''', '''se''' '''jibri''', '''briju''', '''lazni''', '''akti''', '''selfu'''"
gunma,"
'''gunma''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a joint mass, team of components that are  ''x<sub>2</sub><sub>(entity group)</sub>'' 
:'''lo gunma''' — mass, aggregate. '''lo se gunma''' — component of a mass. 
:'''lo gunma be lo prenu ca'o sruri le dinju''' — ''The crowd of people is surrounding the building.''
:Comment: x<sub>2</sub> describes the whole set. For a particular member of a set use '''cmima'''.
:Related words: '''bende''', '''girzu''', '''pagbu''', '''loi''', '''lei''', '''lai''', '''ciste''', '''cmima''', '''kansa''', '''joi'''"
gunro,"
'''gunro''' — ''x<sub>1</sub><sub>(entity)</sub>''  rolls on surface  ''x<sub>2</sub><sub>(entity)</sub>''  rotating on axis or axle  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''i ba bo le verba co'a gunro lo salpo mo'i ni'a fi lo cutne''' — ''And then the child started rolling down the slope rotating around his chest.''
:'''mi ca'o gunro lo vacri''' — ''I am spinning in the air.''
:Related words: '''bolci''', '''carna''', '''jendu''', '''slanu'''"
gunse,"
'''gunse''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a goose of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo gunse''' — goose. 
:'''ju'i do lo ci gunse ca'o limna lo lalxu''' — ''Hey, look, three geese are swimming in the lake.''
:Related words: '''cipni'''"
gunta,"
'''gunta''' — ''x<sub>1</sub><sub>(entity)</sub>''  attacks  ''x<sub>2</sub><sub>(entity)</sub>''  with goal  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo gunta''' — attacker. '''lo se gunta''' — attacked. 
:'''loi ratcu ca'o gunta le dinju lo ka cpacu lo gurni''' — ''Rats are attacking the building to get the grain.''
:Related words: '''bradi''', '''damba''', '''darxi''', '''jamna''', '''jenca''', '''jursa'''"
gurni,"
'''gurni''' — ''x<sub>1</sub><sub>(entity)</sub>''  is grain from plant  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo gurni''' — grain. 
:'''mi vi ku ralte lo gurni be lo zumri''' — ''I keep here maize grain.''
:Related words: '''bavmi''', '''cunmi''', '''mavji''', '''maxri''', '''molki''', '''mraji''', '''rismi''', '''sobde''', '''spati''', '''zumri''', '''nanba''', '''sorgu'''"
guska,"
'''guska''' — ''x<sub>1</sub><sub>(entity)</sub>''  erodes  ''x<sub>2</sub><sub>(entity)</sub>''  from  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo guska''' — blade, scraper, erosive, abrasive. 
:'''mi pu guska lo skapi lo mi cidni''' — ''I scraped the skin of my knees.''
:Related words: '''balre''', '''sraku''', '''batci''', '''canpa''', '''mosra'''"
gusni,"
'''gusni''' — ''x<sub>1</sub><sub>(entity)</sub>''  is light falling down on  ''x<sub>2</sub><sub>(entity)</sub>''  from source  ''x<sub>3</sub><sub>(entity)</sub>'' ; x<sub>3</sub> illuminates x<sub>2</sub> with illumination x<sub>1</sub>
:'''lo gusni''' — light (illumination). '''lo se gusni''' — illuminated. '''lo te gusni''' — illuminator. 
:'''lo fagri pu te gusni le kevna lo xunre''' — ''The fire illuminated the cave with red light.''
:Related words: '''dirce''', '''manku''', '''solri''', '''carmi''', '''ctino''', '''kantu'''"
gusta,"
'''gusta''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a restaurant serving food  ''x<sub>2</sub><sub>(entity)</sub>''  to  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo gusta''' — restaurant. 
:'''banli gusta''' — ''Nice restaurant.''
:'''bu'u lo xotli da gusta lo kukte lo vitke be le xotli''' — ''In the hotel there is a restaurant serving tasty food to guests of the hotel.''
:Related words: '''selfu''', '''barja''', '''citka''', '''kukte''', '''sanmi''', '''xotli'''"
gutci,"
'''gutci''' — ''x<sub>1</sub><sub>(entity)</sub>''  is  ''x<sub>2</sub><sub>(number)</sub>''  short distance units in standard  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''le jubme cu gutci li re lo ka mitre''' — ''The table is two meters in size.''
:Comment: describes measurement of an object in one dimension. x<sub>3</sub> desribes the scale that might not be metric. '''minli''' is used in the same way but for subjectively large objects.
:Related words: '''minli''', '''clani''', '''ganra''', '''rotsu''', '''condi''', '''mitre''', '''dekpu''', '''merli''', '''bunda''', '''kramu'''"
gutra,"
'''gutra''' — ''x<sub>1</sub><sub>(entity)</sub>''  is the womb of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo gutra''' — womb. 
:'''lo gutra be lo mi mamta pu se vimcu''' — ''My mother had uterus removed.''
:Related words: '''jbena''', '''rorci''', '''sovda''', '''tarbi''', '''ganti''', '''mabla'''"
gy,"
'''gy''' <small>[pronoun]</small> — ''g'' (letter)"
i,"
'''i''' — separates sentences
:'''da vi fasnu i je lo nu da mo kau cu na klina''' — ''Something is happening here, and what it is isn't exactly clear.''"
i bu,"
'''i bu''' <small>[pronoun]</small> — ''i'' (letter)"
i'a,"
'''i'a''' <small>[interjection]</small> — ''OK'' (acceptance), '''i'a''' '''nai''' — resistance
:'''i'a mi ba denpa''' — ''Okay, I will wait.''
:'''i'a mi na certu''' — ''Well, I'm not an expert.''
:'''lo danfu i'a nai cu ei drata''' — ''No, the solution doesn't satisfy me, it should be different.''
:Related words: '''mansa''', '''fapro''', '''fi'i'''"
i'e,"
'''i'e''' <small>[interjection]</small> — ''Fine!'' (approval), '''i'e''' '''cu'i''' — non-approval, '''i'e''' '''nai''' — ''Boo!'' (disapproval)
:'''i'e do pu gunka lo vajni''' — ''Very good! You did an important work.''
:'''i'e cu'i do pu tsuku ca lo se tcika''' — ''Well, okay, you arrived on time.''
:'''i'e nai do jai lerci''' — ''Oy, you are late.''
:Related words: '''zanru'''"
i'i,"
'''i'i''' <small>[interjection]</small> — togetherness, comradeship, '''i'i''' '''nai''' — antagonistically
:'''i'i do badri doi pendo''' — ''You are sad, I know that feeling, bro.''
:'''i'i nai mi zukte lo na me do moi''' — ''It's your problems, I'm not doing your work.''
:Related words: '''kansa''', '''gunma''', '''sivni''', '''sepli'''"
i'o,"
'''i'o''' <small>[interjection]</small> — appreciation, '''i'o''' '''nai''' — envy
:'''i'o do je'a pendo''' — ''Ah, you're a true friend.''
:'''i'o nai do ro roi se funca lo zabna''' — ''Mmm, you are always lucky.''
:Related words: '''ckire''', '''jilra'''"
i'u,"
'''i'u''' <small>[interjection]</small> — familiarity, '''i'u''' '''nai''' — unfamiliarity, mystery
:'''coi i'u''' — ''Greetings, old friend.''
:'''i'u lo vi plise cu kukte''' — ''Yes, these apples are sweet.''
:'''ti i'u nai xotli''' — ''It's some hotel.''
:Related words: '''slabu'''"
ia,"
'''ia''' <small>[interjection]</small> — belief, '''ia''' '''cu'i''' — ''allegedly'' (skepticism), '''ia''' '''nai''' — ''Pshaw!'' (disbelief)
:'''ia drani''' — ''I believe that's correct.''
:'''mi viska lo ponse be ia lo blanu zdani''' — ''I see an owner of what I believe to be a blue house.''
:'''ia cu'i le prenu cu catra''' — ''Allegedly, he is the murderer.''
:'''ia nai le prenu cu stace mi''' — ''I don't believe, he is frank with me.''
:Related words: '''krici''', '''jinvi'''"
ie,"
'''ie''' <small>[interjection]</small> — ''Yeah! Aye!'' (agreement), '''ie''' '''nai''' — disagreement
:'''ie la Kevin ka'e pu zvati ti''' — ''Yes, Alice could be here.''
:'''le danlu cu morsi ie nai''' — ''No, I don't agree that the animal is dead.''
:Related words: '''tugni'''"
ii,"
'''ii''' <small>[interjection]</small> — ''Eek! Yikes!'' (fear), '''ii''' '''nai''' — safeness
:'''ii da klama''' — ''Eek, there is someone coming!''
:'''ii nai le djacu na ba kuspe mi'o''' — ''The water won't reach us.''
:Related words: '''terpa''', '''snura'''"
incipe,"
'''incipe''' — ''x<sub>1</sub><sub>(clause)</sub>''  is the beginning/the initial stage/starting/inchoate/coming into existence/first part of  ''x<sub>2</sub><sub>(clause)</sub>'' 
:'''lo incipe''' — beginning (first part) of an event. 
:'''lo nu zgipli cu incipe lo se tigni''' — ''Playing music is the initial part of the performance.''
:Related words: '''ultime''', '''cfari''', '''sisti''', '''krasi''', '''fanmo''', '''mulno'''"
influ'enza,"
'''influ'enza''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an influenza, grippe, flu
:'''lo influ'enza''' — influenza, grippe, flu. 
:'''i mi bilma fi lo influ'enza''' — ''I 've got the flu.''
:Related words: '''bilma'''"
info,"
'''info''' — ''x<sub>1</sub><sub>(proposition)</sub>''  is information about  ''x<sub>2</sub><sub>(proposition)</sub>''  gathered by method  ''x<sub>3</sub><sub>(clause)</sub>'' 
:'''lo info''' — information. '''lo te info''' — method of gathering information. 
:'''lo info be lo nu vofli cu vajni mi''' — ''The information about flights is important to me.''
:'''lo ka gasnu lo zekri cu info le nanmu lo ka zgana lo se zukte be ce'u''' — ''That he is a criminal is the information about the man collected by monitoring his actions.''
:Related words: '''datni''', '''vreji''', '''kucli''', '''djuno'''"
insekto,"
'''insekto''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an insect of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo insekto''' — insect. 
:'''mi se cinri lo ka tadni lo insekto''' — ''I am interested in studying insects.''
:Related words: '''cinki''', '''civla''', '''danlu''', '''blato''', '''ankabuta''', '''manti''', '''sfani''', '''toldi''', '''bifce'''"
intele,"
'''intele''' — ''x<sub>1</sub><sub>(property of x2)</sub>''  is an intellect of bearer  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo intele''' — intellect. 
:'''lo ka facki lo du'u ma kau drani cu intele lo panzi be mi''' — ''The ability to determine who is right is the sign of high intellect of my child.''
:Comment: the realized capacity of thinking, judging, abstract reasoning, and conceptual understanding; the cognitive capacity.
:Related words: '''menli''', '''besna''', '''morji''', '''mucti''', '''pensi''', '''sanji''', '''xanri''', '''sevzi''', '''xadni'''"
io,"
'''io''' <small>[interjection]</small> — respect, '''io''' '''nai''' — disrespect
:'''ko io jersi mi''' — ''This way, Sir!''
:'''ko io nai ti klama''' — ''Get your asses over here!''
:Related words: '''sinma'''"
irci,"
'''irci''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an IRC user, chats in IRC on channel  ''x<sub>2</sub><sub>(entity)</sub>''  in network  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo irci''' — IRC user. 
:'''la Tom cu irci la'o .net.#lojban.net. la'oi freenode''' — ''Tom chats in IRC channel #lojban of freenode network.''
:Related words: '''jikca''', '''kibro'''"
iu,"
'''iu''' <small>[interjection]</small> — ''Aww! Mm!'' (love), '''iu''' '''cu'i''' — ''no love lost'', '''iu''' '''nai''' — hatred
:'''da'i mi stali''' — ''I'd love to stay.''
:'''do iu nai na pu sidju mi''' — ''You didn't help me, hate you!''
:'''cakla iu nai''' — ''I hate chocolate.''
:Related words: '''prami'''"
ja,"
'''ja''' <small>[conjunction]</small> — ''and/or''
:'''ba'a le tanxe cu barda ja tilju''' — ''I expect the box to be big or heavy (at least one of the two characteristics).''"
ja'a,"
'''ja'a''' <small>[preposition of truth]</small> — ''It is true that ...''
:'''mi ja'a jimpe''' — ''I do understand.''"
ja'a ,"
'''ja'a ''' <small>[2nd meaning]</small> — left affirmer in conjunctions
:'''la Alis pu ku sinma ja'a gi'e nai sidju vau mi''' — ''Alice did respect me but didn't help me.''"
ja'ai,"
'''ja'ai''' <small>[1st meaning: interjection]</small> — affirms attitude. Used as a modifier of interjection
:'''ui ja'ai''' — ''Yay indeed!''
:Comment: affirmative/negation pairs are '''ja'ai'''/'''nai''', '''ja'a'''/'''na''', '''je'a'''/'''na'e''', '''jo'a'''/'''na'i'''."
ja'ai ,"
'''ja'ai ''' <small>[2nd meaning: right scaler]</small> — affirms prepositions, pronouns, clauses, verb words
:'''mi pu citka se pi'o ja'ai lo forca''' — ''I ate indeed using a fork.''"
ja'ai  ,"
'''ja'ai  ''' <small>[3rd meaning]</small> — placed after a connective affirms the part after that connective
:'''mi djica na gi'e ja'ai bredi''' — ''I don't want but I'm ready.''"
ja'e,"
'''ja'e''' <small>[preposition from '''jalge''']</small> — ''resulting in ...''
:'''i ja'e bo mi pu bilga lo ka volve''' — ''Therefore, I had to return.''
:'''mi pu tatpi i ja'e bo mi co'a sipna''' — ''I was so tired that I fell asleep.''"
ja'o,"
'''ja'o''' <small>[interjection]</small> — ''I conclude''
:'''ja'o do merko''' — ''Then, you must be an American.''
:'''ja'o do na nelci lo birje''' — ''So, you don't like beer.''
:Related words: '''nibli'''"
jabre,"
'''jabre''' — ''x<sub>1</sub><sub>(entity)</sub>''  brakes or slows activity  ''x<sub>2</sub><sub>(clause)</sub>''  with mechanism or principle  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''do jabre lo nu mi gunka vau lo ka ru'i tavla''' — ''You slow my work down by your constant talk.''
:Related words: '''mosra'''"
jadni,"
'''jadni''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a decoration of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo jadni''' — ornament, decoration (ornament). '''lo se jadni''' — adorned. 
:'''lo tarci cu jadni lo tsani''' — ''Stars decorate the sky.''
:Related words: '''jemna''', '''dirba''', '''batke'''"
jai,"
'''jai''' <small>[1st meaning]</small> — Splits a clause into &quot;some noun + '''cu''' '''jai'''&quot; and &quot;'''fai''' '''lo''' '''ka'''+the rest of the clause&quot;
:'''lei ckiku cu jai nandu fai lo ka se tolcri''' — ''The keys are hard to find.''
:'''va'i lo nu tolcri lei ckiku cu nandu''' — ''In other words, to find the keys is difficult.''"
jai ,"
'''jai ''' <small>[2nd meaning]</small> — Some noun + '''jai''' + some preposition take the first place of the main verb. The old first place can be expressed with the case marker '''fai'''
:'''mi jai gau farvi fai lo proga''' — ''I develop a program.''
:'''va'i gau mi lo proga cu farvi''' — ''In other words, with me as the agent the program develops.''"
jakne,"
'''jakne''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a rocket
:'''lo jakne''' — rocket. 
:'''le jakne ba klama fi le terdi fe le lunra''' — ''The rocket will go from the Earth to the Moon.''
:Related words: '''cecla''', '''danti''', '''spoja'''"
jalge,"
'''jalge''' — ''x<sub>1</sub><sub>(clause)</sub>''  is the result or outcome of  ''x<sub>2</sub><sub>(clause)</sub>'' 
:'''lo jalge''' — outcome of an event, result of an event. 
:'''lo snuti pu se jalge lo nu le nakni pu na jundi''' — ''The accident happened because he hadn't been careful.''
:'''lo cizra pu jalge''' — ''There ensued something strange.''
:Related words: '''se''' '''mukti''', '''te''' '''zukte''', '''se''' '''rinka''', '''se''' '''krinu''', '''se''' '''nibli''', '''mulno''', '''sumji''', '''pilji''', '''mekso''', '''ja'e''', '''ciksi'''"
